symbol,event,event_timestamp,actual,consensus,surprise,before_return_pct,after_return_pct
SPY,CPI_YoY,2023-01-12 08:30:00,6.5,6.5,0.0,2.346202866303604,0.3879531968262073
SPY,CPI_YoY,2023-02-14 08:30:00,6.0,6.2,-0.20000000000000018,1.3633301103398887,-1.3037999473613504
SPY,CPI_YoY,2023-03-14 08:30:00,5.0,5.2,-0.20000000000000018,0.043419237025954516,-0.06424001556628589
SPY,CPI_YoY,2023-04-12 08:30:00,4.9,5.0,-0.09999999999999964,-0.38084758005778596,1.0807450248218053
SPY,CPI_YoY,2023-05-10 08:30:00,4.9,4.9,0.0,0.05331098592233907,-0.30518331201190296
SPY,CPI_YoY,2023-06-13 08:30:00,4.0,4.1,-0.09999999999999964,1.754733136126685,1.0150688934989383
SPY,CPI_YoY,2023-07-12 08:30:00,3.0,3.1,-0.10000000000000009,1.7033296487675154,0.7308989990772563
SPY,CPI_YoY,2023-08-10 08:30:00,3.2,3.3,-0.09999999999999964,-1.0649801414076454,0.49337723824998125
SPY,CPI_YoY,2023-09-13 08:30:00,3.7,3.6,0.10000000000000009,0.22222009104302387,-0.3529850732091555
SPY,CPI_YoY,2023-10-12 08:30:00,3.7,3.7,0.0,0.3169010999022337,0.5488238375393584
SPY,CPI_YoY,2023-11-14 08:30:00,3.2,3.3,-0.09999999999999964,3.432153372534019,0.4590700289523575
SPY,CPI_YoY,2023-12-12 08:30:00,3.1,3.1,0.0,1.2810211385602122,1.5369154490088022
SPY,CPI_YoY,2024-01-11 08:30:00,3.4,3.2,0.19999999999999973,0.3687318589621347,0.06927187295553416
SPY,CPI_YoY,2024-02-13 08:30:00,3.1,3.0,0.10000000000000009,-0.8508703953578056,1.0990262725545819
SPY,CPI_YoY,2024-03-12 08:30:00,3.2,3.1,0.10000000000000009,0.38266067057344255,-1.0383456072629693
SPY,CPI_YoY,2024-04-10 08:30:00,3.5,3.4,0.10000000000000009,-0.8313640093208563,-0.6360370576334762
SPY,CPI_YoY,2024-05-15 08:30:00,3.3,3.3,0.0,1.7164561941835688,-0.06229801403224711
SPY,CPI_YoY,2024-06-12 08:30:00,3.0,3.1,-0.10000000000000009,1.3763587918208087,0.26232706985922505
SPY,CPI_YoY,2024-07-11 08:30:00,2.9,3.0,-0.10000000000000009,0.21608209668935174,0.9074966128671091
SPY,CPI_YoY,2024-08-14 08:30:00,2.8,2.9,-0.10000000000000009,2.0187914875015034,1.9420901218433206
SPY,CPI_YoY,2024-09-11 08:30:00,2.9,2.9,0.0,2.6019676221908483,1.3689962720739857
SPY,CPI_YoY,2024-10-10 08:30:00,3.0,2.9,0.10000000000000009,1.4670834034646418,1.421541263320103
SPY,CPI_YoY,2024-11-13 08:30:00,3.1,3.0,0.10000000000000009,-0.16716886864773794,-1.9156319606539296
SPY,CPI_YoY,2024-12-11 08:30:00,3.0,3.0,0.0,-0.057578487660625566,-0.5350206176519046
